lat,lon,zipcode,price
43.36338,-8.419397,15010,450
43.36818,-8.404493,15003,500
43.3001,-8.50992,15142,700
43.3128,-8.50122,15142,800
43.36664,-8.408056,15003,500
43.36332,-8.422009,15010,600
43.37868,-8.4044,15002,300
43.35344,-8.39323,15006,700
43.49348,-8.212008,15404,400
43.31994,-8.35634,15679,450
42.87306,-8.546521,15701,750
43.34507,-8.39887,15009,650
43.35504,-8.414421,15008,750
43.3761,-8.398243,15001,990
43.34836,-8.399513,15009,600
43.35811,-8.404634,15006,730
43.3717,-8.397917,15001,520
42.87569,-8.547329,15701,1000
43.37173,-8.400112,15001,650
43.3757,-8.431921,15011,850
43.35218,-8.400845,15009,750
43.30671,-8.51562,15142,400
43.36834,-8.40521,15003,990
43.38047,-8.407181,15002,1100
43.49731,-8.195482,15570,450
43.41391,-8.167706,15621,500
42.94065,-9.234531,15153,360
43.32329,-8.36455,15179,548
42.959,-9.193698,15270,350
43.35339,-8.39103,15006,590
43.42951,-8.245133,15624,460
43.36346,-8.420598,15010,780
43.48399,-8.207008,15406,400
43.3623,-8.41035,15004,1100
43.37196,-8.42259,15011,665
43.37182,-8.42269,15011,665
43.33644,-8.391191,15009,780
43.48478,-8.236675,15401,350
43.37431,-8.428958,15011,785
43.48613,-8.220771,15404,490
43.47998,-8.225874,15403,650
43.36367,-8.414117,15004,750
42.87312,-8.549688,15701,990
43.3033,-8.512911,15142,500
42.87074,-8.560436,15706,1340
42.87794,-8.543026,15701,950
43.20992,-8.690816,15100,450
42.87241,-8.544637,15703,525
42.87251,-8.554995,15706,1500
42.86836,-8.531045,15702,1200
43.35959,-8.402611,15006,550
42.88989,-8.539378,15704,750
43.3726,-8.398857,15001,600
42.8852,-8.533547,15705,650
43.37181,-8.417205,15011,460
43.33989,-8.403592,15009,480
43.32055,-8.607181,15145,450
43.48618,-8.2308,15402,450
43.36259,-8.407068,15005,1300
43.35152,-8.25931,15160,475
42.88566,-8.51654,15707,700
43.32202,-8.81591,15113,350
43.3689,-8.402281,15003,1300
43.37158,-8.40237,15003,700
43.36056,-8.40833,15005,600
42.63663,-8.905426,15992,270
43.21485,-8.944962,15116,350
43.21485,-8.944962,15116,350
43.38391,-8.394862,15002,850
43.37339,-8.435802,15011,700
43.19369,-8.74397,15147,550
43.37567,-8.40149,15002,1250
43.48541,-8.23532,15401,1000
43.27608,-8.214447,15300,450
42.87109,-8.548047,15701,650
43.32855,-8.410438,15008,1000
43.3679,-8.404545,15003,1650
43.37524,-8.39669,15002,550
43.35009,-8.39037,15006,450
43.3634,-8.408071,15004,1200
43.27145,-8.317677,15659,450
43.34747,-8.252254,15160,550
43.3557,-8.416033,15008,770
43.27559,-8.213268,15300,500
43.37567,-8.40149,15002,1875
43.37613,-8.403384,15002,1500
42.88049,-8.541928,15704,700
43.3504,-8.252868,15160,525
43.33496,-8.40851,15008,900
43.48698,-8.2358,15401,380
42.87354,-8.55047,15701,750
43.36376,-8.410222,15004,1450
43.27726,-8.211359,15300,500
43.37826,-8.401879,15002,650
43.35626,-8.402318,15006,1200
43.42088,-8.17136,15622,1700
43.50054,-8.191936,15570,600
43.50047,-8.205481,15570,400
43.3698,-8.418784,15011,800
43.37435,-8.395642,15002,575
42.88292,-8.535318,15703,680
42.8748,-8.542644,15702,850
43.36741,-8.409166,15004,850
43.36784,-8.404825,15003,1650
43.47749,-8.172626,15500,450
43.35827,-8.416592,15007,525
43.45943,-8.262394,15620,1200
43.36501,-8.413656,15011,1600
42.87264,-8.548217,15701,750
43.36627,-8.407508,15004,1250
43.49257,-8.221488,15403,450
43.22133,-9.005459,15117,1300
43.48903,-8.23315,15405,400
42.86674,-8.562486,15701,700
42.8699,-8.547722,15701,1000
43.36404,-8.412536,15004,700
43.36547,-8.406749,15004,1650
43.35976,-8.413642,15007,870
43.48719,-8.216,15406,400
43.37477,-8.395535,15002,800
43.36302,-8.421847,15010,650
43.34883,-8.250687,15160,550
43.35224,-8.40488,15009,900
43.36622,-8.410954,15004,1100
43.32521,-8.480394,15141,500
43.37897,-8.401587,15002,890
43.35582,-8.408442,15007,700
43.36763,-8.409157,15004,1500
43.49272,-8.226024,15403,400
43.37864,-8.398436,15002,800
42.88226,-8.543851,15704,750
43.36242,-8.417226,15010,535
42.55256,-8.997979,15968,375
43.37012,-8.403224,15003,1250
42.87313,-8.544597,15704,950
43.36227,-8.409494,15005,1400
42.87403,-8.544007,15702,500
42.86979,-8.565409,15706,650
42.87323,-8.550854,15701,650
43.36107,-8.427135,15010,600
43.36932,-8.40406,15003,1100
42.87468,-8.548923,15701,1200
42.87469,-8.548931,15701,1200
42.87401,-8.543971,15702,500
43.36006,-8.405256,15005,1500
43.48105,-8.238303,15401,450
43.37774,-8.400241,15002,600
43.34646,-8.398793,15009,750
43.35441,-8.39899,15009,550
42.8869,-8.545081,15705,1600
42.87489,-8.546041,15701,1200
42.87453,-8.546453,15701,750
42.87394,-8.543845,15702,500
42.87384,-8.543846,15702,500
43.35628,-8.401505,15006,630
42.78879,-8.544837,15883,1500
42.88272,-8.529802,15707,800
43.48427,-8.235734,15402,450
42.87268,-8.548081,15701,750
43.5008,-8.200051,15570,420
43.35522,-8.40155,15006,890
43.27885,-8.617008,15146,550
42.87391,-8.546763,15701,850
42.87627,-8.546272,15701,700
43.3196,-8.37623,15670,450
43.35769,-8.406683,15007,850
43.36314,-8.423265,15010,450
43.35251,-8.213631,15630,320
42.87958,-8.548024,15705,675
42.86844,-8.554667,15706,750
43.45449,-8.199205,15520,900
42.87312,-8.550817,15701,800
43.36064,-8.408518,15005,750
43.33363,-8.38876,15006,475
43.49044,-8.220015,15403,450
